Index,Time,(Debug_IMU_Data).Euler_Yaw_rad,(Gimbal).Target_Yaw_Speed,(Debug_IMU_Data).Gyro_Z_rad_s
359,0.359176,0,0,0
360,0.359796,0,0,0
361,0.360892,0,0,0
362,0.362032,0,0,0
363,0.362652,0,0,0
364,0.363758,0,0,0
365,0.364882,0,0,0
366,0.366024,0,0,0
367,0.366644,0,0,0
368,0.367751,0,0,0
369,0.368898,0,0,0
370,0.370291,0,0,0
371,0.371106,0,0,0
372,0.371726,0,0,0
373,0.372822,0,0,0
374,0.373962,0,0,0
375,0.375101,0,0,0
376,0.375721,0,0,0
377,0.376815,0,0,0
378,0.377954,0,0,0
379,0.379090,0,0,0
380,0.379710,0,0,0
381,0.380804,0,0,0
382,0.382210,0,0,0
383,0.383075,0,0,0
384,0.383694,0,0,0
385,0.384788,0,0,0
386,0.385931,0,0,0
387,0.387067,0,0,0
388,0.387687,0,0,0
389,0.388781,0,0,0
390,0.389917,0,0,0
391,0.391056,0,0,0
392,0.391676,0,0,0
393,0.392770,0,0,0
394,0.394178,0,0,0
395,0.394886,0,0,0
396,0.395787,0,0,0
397,0.396910,0,0,0
398,0.398050,0,0,0
399,0.398670,0,0,0
400,0.399777,0,0,0
401,0.400900,0,0,0
402,0.402040,0,0,0
403,0.402659,0,0,0
404,0.403766,0,0,0
405,0.404889,0,0,0
406,0.405763,0,0,0
407,0.407129,0,0,0
408,0.407749,0,0,0
409,0.408845,0,0,0
410,0.409984,0,0,0
411,0.411121,0,0,0
412,0.411740,0,0,0
413,0.412834,0,0,0
414,0.413974,0,0,0
415,0.415113,0,0,0
416,0.415733,0,0,0
417,0.416981,0,0,0
418,0.417808,0,0,0
419,0.419040,0,0,0
420,0.419660,0,0,0
421,0.420767,0,0,0
422,0.421890,0,0,0
423,0.423030,0,0,0
424,0.423650,0,0,0
425,0.424756,0,0,0
426,0.425883,0,0,0
427,0.427022,0,0,0
428,0.427642,0,0,0
429,0.428749,0,0,0
430,0.430146,0,0,0
431,0.430855,0,0,0
432,0.431965,0,0,0
433,0.433088,0,0,0
434,0.433708,0,0,0
435,0.434815,0,0,0
436,0.435957,0,0,0
437,0.437081,0,0,0
438,0.437701,0,0,0
439,0.438808,0,0,0
440,0.439947,0,0,0
441,0.441071,0,0,0
442,0.441808,0,0,0
443,0.443169,0,0,0
444,0.443789,0,0,0
445,0.444885,0,0,0
446,0.446028,0,0,0
447,0.446648,0,0,0
448,0.447755,0,0,0
449,0.448878,0,0,0
450,0.450017,0,0,0
451,0.450637,0,0,0
452,0.451744,0,0,0
453,0.452867,0,0,0
454,0.454295,0,0,0
455,0.455133,0,0,0
456,0.456091,0,0,0
457,0.456711,0,0,0
458,0.457804,0,0,0
459,0.458945,0,0,0
460,0.460081,0,0,0
461,0.460701,0,0,0
462,0.461795,0,0,0
463,0.462935,0,0,0
464,0.464071,0,0,0
465,0.464691,0,0,0
466,0.466060,0,0,0
467,0.466768,0,0,0
468,0.467861,0,0,0
469,0.469002,0,0,0
470,0.470138,0,0,0
471,0.470758,0,0,0
472,0.471852,0,0,0
473,0.472991,0,0,0
474,0.474127,0,0,0
475,0.474747,0,0,0
476,0.475844,0,0,0
477,0.476984,0,0,0
478,0.477838,0,0,0
479,0.479179,0,0,0
480,0.479799,0,0,0
481,0.480895,0,0,0
482,0.482035,0,0,0
483,0.482655,0,0,0
484,0.483761,0,0,0
485,0.484884,0,0,0
486,0.486027,0,0,0
487,0.486647,0,0,0
488,0.487754,0,0,0
489,0.489117,0,0,0
490,0.489800,0,0,0
491,0.491073,0,0,0
492,0.491693,0,0,0
493,0.492799,0,0,0
494,0.493939,0,0,0
495,0.495066,0,0,0
496,0.495686,0,0,0
497,0.496793,0,0,0
498,0.497916,0,0,0
499,0.499055,0,0,0
500,0.499675,0,0,0
501,0.500940,0,0,0
502,0.502287,0,0,0
503,0.502907,0,0,0
504,0.504044,0,0,0
505,0.504850,0,0,0
506,0.505993,0,0,0
507,0.507117,0,0,0
508,0.507736,0,0,0
509,0.508842,0,0,0
510,0.509982,0,0,0
511,0.511105,0,0,0
512,0.511725,0,0,0
513,0.513115,0,0,0
514,0.513834,0,0,0
515,0.514947,0,0,0
516,0.516070,0,0,0
517,0.516690,0,0,0
518,0.517797,0,0,0
519,0.518936,0,0,0
520,0.520059,0,0,0
521,0.520679,0,0,0
522,0.521785,0,0,0
523,0.522909,0,0,0
524,0.524203,0,0,0
525,0.524886,0,0,0
526,0.526128,0,0,0
527,0.526747,0,0,0
528,0.527853,0,0,0
529,0.528993,0,0,0
530,0.530117,0,0,0
531,0.530736,0,0,0
532,0.531842,0,0,0
533,0.532982,0,0,0
534,0.534106,0,0,0
535,0.534725,0,0,0
536,0.535835,0,0,0
537,0.537118,0,0,0
538,0.537801,0,0,0
539,0.539049,0,0,0
540,0.539669,0,0,0
541,0.540776,0,0,0
542,0.541899,0,0,0
543,0.543039,0,0,0
544,0.543659,0,0,0
545,0.544766,0,0,0
546,0.545892,0,0,0
547,0.547031,0,0,0
548,0.547651,0,0,0
549,0.548996,0,0,0
550,0.549842,0,0,0
551,0.550982,0,0,0
552,0.552105,0,0,0
553,0.552725,0,0,0
554,0.553832,0,0,0
555,0.554974,0,0,0
556,0.556097,0,0,0
557,0.556717,0,0,0
558,0.557849,0,0,0
559,0.558754,0,0,0
560,0.559881,0,0,0
561,0.561285,0,0,0
562,0.562085,0,0,0
563,0.562705,0,0,0
564,0.563802,0,0,0
565,0.564946,0,0,0
566,0.566082,0,0,0
567,0.566702,0,0,0
568,0.567796,0,0,0
569,0.568935,0,0,0
570,0.570071,0,0,0
571,0.570691,0,0,0
572,0.571785,0,0,0
573,0.573191,0,0,0
574,0.573900,0,0,0
575,0.575013,0,0,0
576,0.575716,0,0,0
577,0.576839,0,0,0
578,0.577978,0,0,0
579,0.579114,0,0,0
580,0.579734,0,0,0
581,0.580828,0,0,0
582,0.581967,0,0,0
583,0.583103,0,0,0
584,0.583723,0,0,0
585,0.585093,0,0,0
586,0.585803,0,0,0
587,0.586896,0,0,0
588,0.588036,0,0,0
589,0.588656,0,0,0
590,0.589763,0,0,0
591,0.590886,0,0,0
592,0.592026,0,0,0
593,0.592646,0,0,0
594,0.593752,0,0,0
595,0.594875,0,0,0
596,0.596302,0,0,0
597,0.597113,0,0,0
598,0.597732,0,0,0
599,0.598829,0,0,0
600,0.599968,0,0,0
601,0.601104,0,0,0
602,0.601724,0,0,0
603,0.602818,0,0,0
604,0.603957,0,0,0
605,0.605097,0,0,0
606,0.605717,0,0,0
607,0.606810,0,0,0
608,0.608250,0,0,0
609,0.609081,0,0,0
610,0.609701,0,0,0
611,0.610798,0,0,0
612,0.611937,0,0,0
613,0.612864,0,0,0
614,0.614005,0,0,0
615,0.615132,0,0,0
616,0.615752,0,0,0
617,0.616858,0,0,0
618,0.617998,0,0,0
619,0.619272,0,0,0
620,0.620083,0,0,0
621,0.620791,0,0,0
622,0.621885,0,0,0
623,0.623025,0,0,0
624,0.623645,0,0,0
625,0.624752,0,0,0
626,0.625878,0,0,0
627,0.627018,0,0,0
628,0.627638,0,0,0
629,0.628744,0,0,0
630,0.629868,0,0,0
631,0.631032,0,0,0
632,0.631746,0,0,0
633,0.633111,0,0,0
634,0.633731,0,0,0
635,0.634827,0,0,0
636,0.635969,0,0,0
637,0.637106,0,0,0
638,0.637726,0,0,0
639,0.638819,0,0,0
640,0.639958,0,0,0
641,0.641095,0,0,0
642,0.641715,0,0,0
643,0.642808,0,0,0
644,0.644225,0,0,0
645,0.645114,0,0,0
646,0.645734,0,0,0
647,0.646827,0,0,0
648,0.647967,0,0,0
649,0.649103,0,0,0
650,0.649723,0,0,0
651,0.650816,0,0,0
652,0.651956,0,0,0
653,0.653092,0,0,0
654,0.653712,0,0,0
655,0.654806,0,0,0
656,0.656121,0,0,0
657,0.656804,0,0,0
658,0.658054,0,0,0
659,0.658673,0,0,0
660,0.659780,0,0,0
661,0.660903,0,0,0
662,0.662044,0,0,0
663,0.662664,0,0,0
664,0.663770,0,0,0
665,0.664893,0,0,0
666,0.666036,0,0,0
667,0.666656,0,0,0
668,0.667762,0,0,0
669,0.669158,0,0,0
670,0.669868,0,0,0
671,0.670978,0,0,0
672,0.672101,0,0,0
673,0.672721,0,0,0
674,0.674062,0,0,0
675,0.674682,0,0,0
676,0.675792,0,0,0
677,0.677392,0,0,0
678,0.678326,0,0,0
679,0.679263,0,0,0
680,0.680153,0,0,0
681,0.680893,0,0,0
682,0.682282,0,0,0
683,0.683196,0,0,0
684,0.684110,0,0,0
685,0.685111,0,0,0
686,0.686092,0,0,0
687,0.687086,0,0,0
688,0.688111,0,0,0
689,0.689111,0,0,0
690,0.690117,0,0,0
691,0.691086,0,0,0
692,0.692111,0,0,0
693,0.693086,0,0,0
694,0.693827,0,0,0
695,0.695197,0,0,0
696,0.695817,0,0,0
697,0.696914,0,0,0
698,0.698053,0,0,0
699,0.698673,0,0,0
700,0.699779,0,0,0
701,0.700902,0,0,0
702,0.702043,0,0,0
703,0.702663,0,0,0
704,0.703769,0,0,0
705,0.704892,0,0,0
706,0.706190,0,0,0
707,0.706873,0,0,0
708,0.708133,0,0,0
709,0.708753,0,0,0
710,0.709860,0,0,0
711,0.711000,0,0,0
712,0.712123,0,0,0
713,0.712743,0,0,0
714,0.713849,0,0,0
715,0.714992,0,0,0
716,0.716115,0,0,0
717,0.716735,0,0,0
718,0.717842,0,0,0
719,0.719234,0,0,0
720,0.720084,0,0,0
721,0.720704,0,0,0
722,0.721798,0,0,0
723,0.722938,0,0,0
724,0.724074,0,0,0
725,0.724694,0,0,0
726,0.725791,0,0,0
727,0.726931,0,0,0
728,0.728067,0,0,0
729,0.728687,0,0,0
730,0.729939,0,0,0
731,0.731285,0,0,0
732,0.732190,0,0,0
733,0.732810,0,0,0
734,0.733907,0,0,0
735,0.735050,0,0,0
736,0.735670,0,0,0
737,0.736776,0,0,0
738,0.737899,0,0,0
739,0.739039,0,0,0
740,0.739659,0,0,0
741,0.740766,0,0,0
742,0.742179,0,0,0
743,0.742897,0,0,0
744,0.744008,0,0,0
745,0.745134,0,0,0
746,0.745754,0,0,0
747,0.746860,0,0,0
748,0.748000,0,0,0
749,0.749124,0,0,0
750,0.749744,0,0,0
751,0.750850,0,0,0
752,0.751990,0,0,0
753,0.752852,0,0,0
754,0.754183,0,0,0
755,0.754802,0,0,0
756,0.755902,0,0,0
757,0.757042,0,0,0
758,0.757662,0,0,0
759,0.758768,0,0,0
760,0.759891,0,0,0
761,0.761031,0,0,0
762,0.761651,0,0,0
763,0.762757,0,0,0
764,0.763880,0,0,0
765,0.765173,0,0,0
766,0.765856,0,0,0
767,0.767095,0,0,0
768,0.767715,0,0,0
769,0.768822,0,0,0
