time_s,target_rad_s,now_rad_s,output_A,speed_rpm
9.900000000000000355e+00,2.000000000000000000e+00,1.955000000000000071e+00,2.999999999999999889e-02,1.799999999999999864e-02
1.000000000000000000e+01,-2.000000000000000000e+00,1.977999999999999980e+00,-2.510000000000000009e-01,1.700000000000000122e-02
1.010000000000000142e+01,-2.000000000000000000e+00,-1.705000000000000071e+00,-2.599999999999999881e-02,-1.400000000000000029e-02
1.020000000000000107e+01,-2.000000000000000000e+00,-1.846000000000000085e+00,-2.299999999999999961e-02,-1.700000000000000122e-02
1.030000000000000071e+01,-2.000000000000000000e+00,-1.911999999999999922e+00,-2.400000000000000050e-02,-1.799999999999999864e-02
1.040000000000000036e+01,-2.000000000000000000e+00,-1.846999999999999975e+00,-2.999999999999999889e-02,-1.700000000000000122e-02
1.050000000000000000e+01,-2.000000000000000000e+00,-2.039000000000000146e+00,-1.899999999999999953e-02,-1.799999999999999864e-02
1.060000000000000142e+01,-2.000000000000000000e+00,-2.047000000000000153e+00,-2.000000000000000042e-02,-1.899999999999999953e-02
1.070000000000000107e+01,-2.000000000000000000e+00,-1.945000000000000062e+00,-2.699999999999999969e-02,-1.799999999999999864e-02
1.080000000000000071e+01,-2.000000000000000000e+00,-1.935999999999999943e+00,-2.800000000000000058e-02,-1.700000000000000122e-02
1.090000000000000036e+01,-2.000000000000000000e+00,-1.993000000000000105e+00,-2.400000000000000050e-02,-1.700000000000000122e-02
1.100000000000000000e+01,-2.000000000000000000e+00,-2.032000000000000028e+00,-2.400000000000000050e-02,-1.899999999999999953e-02
1.110000000000000142e+01,-2.000000000000000000e+00,-1.872000000000000108e+00,-3.500000000000000333e-02,-1.799999999999999864e-02
1.120000000000000107e+01,-2.000000000000000000e+00,-1.951999999999999957e+00,-2.900000000000000147e-02,-1.700000000000000122e-02
1.130000000000000071e+01,-2.000000000000000000e+00,-2.064000000000000057e+00,-2.299999999999999961e-02,-1.799999999999999864e-02
1.140000000000000036e+01,-2.000000000000000000e+00,-2.048999999999999932e+00,-2.500000000000000139e-02,-1.899999999999999953e-02
1.150000000000000000e+01,-2.000000000000000000e+00,-1.941999999999999948e+00,-3.200000000000000067e-02,-2.000000000000000042e-02
1.160000000000000142e+01,-2.000000000000000000e+00,-1.915000000000000036e+00,-3.300000000000000155e-02,-1.600000000000000033e-02
1.170000000000000107e+01,-2.000000000000000000e+00,-2.008000000000000007e+00,-2.800000000000000058e-02,-1.700000000000000122e-02
1.180000000000000071e+01,-2.000000000000000000e+00,-1.989999999999999991e+00,-2.999999999999999889e-02,-1.799999999999999864e-02
1.190000000000000036e+01,-2.000000000000000000e+00,-1.875000000000000000e+00,-4.000000000000000083e-02,-1.899999999999999953e-02
1.200000000000000000e+01,2.000000000000000000e+00,-2.012000000000000011e+00,2.500000000000000000e-01,-1.899999999999999953e-02
1.210000000000000142e+01,2.000000000000000000e+00,1.641000000000000014e+00,2.699999999999999969e-02,1.499999999999999944e-02
1.220000000000000107e+01,2.000000000000000000e+00,1.844000000000000083e+00,2.299999999999999961e-02,1.799999999999999864e-02
1.230000000000000071e+01,2.000000000000000000e+00,1.834000000000000075e+00,2.900000000000000147e-02,1.600000000000000033e-02
1.240000000000000036e+01,2.000000000000000000e+00,1.893999999999999906e+00,2.699999999999999969e-02,1.600000000000000033e-02
1.250000000000000000e+01,-2.000000000000000000e+00,2.092000000000000082e+00,-2.640000000000000124e-01,1.799999999999999864e-02
1.260000000000000142e+01,-2.000000000000000000e+00,-1.627000000000000002e+00,-3.799999999999999906e-02,-1.299999999999999940e-02
1.270000000000000107e+01,-2.000000000000000000e+00,-1.768000000000000016e+00,-3.300000000000000155e-02,-1.499999999999999944e-02
1.280000000000000071e+01,-2.000000000000000000e+00,-1.943000000000000060e+00,-2.699999999999999969e-02,-1.799999999999999864e-02
1.290000000000000036e+01,-2.000000000000000000e+00,-1.875999999999999890e+00,-3.500000000000000333e-02,-1.799999999999999864e-02
1.300000000000000000e+01,2.000000000000000000e+00,-1.929999999999999938e+00,2.479999999999999982e-01,-1.799999999999999864e-02
1.310000000000000142e+01,2.000000000000000000e+00,1.661000000000000032e+00,2.699999999999999969e-02,1.499999999999999944e-02
1.320000000000000107e+01,2.000000000000000000e+00,1.852000000000000091e+00,2.400000000000000050e-02,1.700000000000000122e-02
1.330000000000000071e+01,2.000000000000000000e+00,1.862999999999999989e+00,2.800000000000000058e-02,1.600000000000000033e-02
1.340000000000000036e+01,2.000000000000000000e+00,1.881000000000000005e+00,2.900000000000000147e-02,1.600000000000000033e-02
1.350000000000000000e+01,-2.000000000000000000e+00,2.093999999999999861e+00,-2.640000000000000124e-01,1.799999999999999864e-02
1.360000000000000142e+01,-2.000000000000000000e+00,-1.639000000000000012e+00,-3.599999999999999728e-02,-1.299999999999999940e-02
1.370000000000000107e+01,-2.000000000000000000e+00,-1.780000000000000027e+00,-3.300000000000000155e-02,-1.499999999999999944e-02
1.380000000000000071e+01,-2.000000000000000000e+00,-1.967000000000000082e+00,-2.500000000000000139e-02,-1.799999999999999864e-02
1.390000000000000036e+01,-2.000000000000000000e+00,-1.868999999999999995e+00,-3.500000000000000333e-02,-1.799999999999999864e-02
1.400000000000000000e+01,2.000000000000000000e+00,-1.921999999999999931e+00,2.469999999999999973e-01,-1.799999999999999864e-02
1.410000000000000142e+01,2.000000000000000000e+00,1.637000000000000011e+00,2.900000000000000147e-02,1.499999999999999944e-02
1.420000000000000107e+01,2.000000000000000000e+00,1.881999999999999895e+00,2.199999999999999872e-02,1.700000000000000122e-02
1.430000000000000071e+01,2.000000000000000000e+00,1.804000000000000048e+00,3.200000000000000067e-02,1.600000000000000033e-02
1.440000000000000036e+01,2.000000000000000000e+00,1.899000000000000021e+00,2.699999999999999969e-02,1.600000000000000033e-02
1.450000000000000000e+01,-2.000000000000000000e+00,2.072000000000000064e+00,-2.620000000000000107e-01,1.799999999999999864e-02
1.460000000000000142e+01,-2.000000000000000000e+00,-1.639999999999999902e+00,-3.599999999999999728e-02,-1.299999999999999940e-02
